0,5138,6,37,30,6,10,21,32,7,22,20,16,15,14,19,24,1,22,6,18,7,6,11,10,15,6,1,0,11,10,7,6,1,6,0,4,1,2,1,0,0,0
1,1334,34,31,34,35,22,24,22,16,10,6,4,14,10,13,18,24,10,5,16,10,14,15,4,5,10,4,10,5,10,5,4,4,2,3,4,4,2,1,0,0,0
2,1200,21,22,13,35,1,11,7,13,29,19,1,10,25,10,9,6,13,14,13,4,1,13,1,7,13,1,11,9,1,2,1,1,5,4,1,1,1,1,1,0,0
3,2953,16,34,26,7,16,16,8,16,0,11,16,23,16,25,8,1,16,17,16,16,16,7,16,8,0,1,2,8,4,5,6,7,0,2,4,1,0,1,0,0,0
4,8371,20,24,16,20,0,25,20,0,20,25,0,7,4,18,24,15,12,6,0,18,0,16,0,3,4,0,4,11,0,0,0,0,4,4,0,0,0,0,0,0,0
5,2857,7,7,11,17,7,27,27,25,7,11,7,4,27,7,7,22,7,17,3,13,7,11,7,10,7,7,13,7,7,3,7,7,7,6,1,2,3,1,1,0,0
6,9034,26,16,32,6,10,26,26,28,10,1,16,5,26,19,16,11,10,22,6,19,6,13,10,9,10,1,12,3,10,6,6,1,2,5,4,1,2,1,0,0,0
7,9737,10,32,6,30,26,15,4,2,18,12,20,20,22,26,6,0,2,8,2,8,10,6,8,4,2,5,8,6,2,2,0,8,2,1,2,0,2,2,0,0,0
8,2061,33,27,17,35,21,8,25,15,17,16,3,22,1,12,1,8,9,12,15,15,13,17,3,8,1,3,1,1,9,4,3,3,1,1,3,3,1,0,1,0,0
9,475,24,9,6,16,12,19,24,24,16,6,24,11,12,3,22,4,0,7,2,12,4,6,12,7,0,9,12,9,0,2,4,3,0,5,0,4,0,0,0,0,0
10,9091,16,26,2,33,32,1,20,17,16,14,26,27,8,14,0,6,8,12,6,8,16,2,14,3,0,11,8,0,8,6,6,5,0,1,2,1,0,2,0,0,0
11,7977,31,38,23,10,23,21,11,14,15,4,11,4,7,5,25,11,23,19,3,14,11,4,5,11,15,11,7,12,11,3,1,5,7,0,5,1,3,2,1,0,0
12,890,14,36,18,1,30,9,10,27,14,26,24,22,2,3,10,9,6,12,16,9,14,18,12,10,14,9,2,10,6,5,4,3,6,2,0,4,2,0,0,0,0
13,9665,10,38,34,10,26,30,8,23,18,5,20,15,2,26,12,20,2,18,12,2,10,15,8,8,2,5,2,12,2,1,0,8,2,2,2,0,2,2,0,0,0
14,9438,21,8,9,5,17,26,13,29,13,1,11,17,5,17,21,6,5,4,7,5,1,9,17,13,13,11,5,8,5,7,1,8,5,5,5,1,1,2,1,0,0
15,6377,17,28,25,0,25,17,13,28,25,28,7,28,17,25,15,22,1,13,17,10,17,6,7,13,9,7,3,2,1,6,7,7,1,3,1,2,1,1,1,0,0
16,1661,12,16,16,13,4,12,32,1,12,14,22,5,12,4,16,12,4,5,12,19,12,16,4,15,12,7,12,3,4,1,2,4,4,5,4,2,0,1,0,0,0
17,4906,15,0,25,25,15,30,19,24,31,17,15,28,23,6,13,10,15,4,13,9,15,6,15,2,15,0,9,0,3,2,5,6,7,2,3,0,3,0,1,0,0
18,9905,27,17,33,21,11,12,29,2,11,21,17,7,19,11,17,2,11,0,13,5,7,14,11,12,11,2,5,4,11,2,7,2,3,5,5,2,3,2,1,0,0
19,4741,2,33,28,22,6,22,2,12,26,5,12,16,22,15,20,12,18,21,12,15,2,9,6,2,10,12,8,7,6,1,2,6,2,1,0,2,2,0,0,0,0
20,9652,33,36,33,30,33,23,25,3,25,9,3,10,9,24,23,8,9,15,3,9,13,14,15,8,9,3,9,10,9,3,3,6,1,2,3,3,1,0,1,0,0
21,2760,1,10,21,21,25,21,7,16,25,25,1,28,21,25,23,1,1,0,5,7,1,2,7,7,9,1,7,10,1,5,1,7,1,0,1,1,1,1,1,0,0
22,2132,0,16,14,29,16,10,28,1,0,4,10,5,24,7,16,5,16,6,12,10,0,14,16,11,0,10,10,3,4,1,0,7,0,3,4,0,0,1,0,0,0
23,1384,7,28,3,19,31,2,21,10,7,21,7,12,23,13,15,2,7,0,21,16,7,3,13,4,7,7,9,2,7,10,7,4,7,2,1,2,3,1,1,0,0
24,6031,31,23,9,7,23,26,19,26,7,24,11,14,19,5,23,11,23,3,15,5,11,9,5,2,7,11,5,10,11,4,1,5,7,5,5,1,3,2,1,0,0
25,6349,2,37,14,2,22,17,12,31,26,19,22,22,10,4,24,7,10,6,20,10,2,14,4,12,10,7,10,11,10,9,2,4,2,3,4,2,2,1,0,0,0
26,533,30,25,14,32,22,30,2,16,14,5,10,3,2,13,12,15,22,21,16,16,10,14,4,2,14,10,2,12,10,5,0,4,6,2,4,0,2,1,0,0,0
27,7477,25,3,21,11,9,0,23,21,1,28,15,5,21,0,3,20,9,19,21,0,5,2,9,6,1,0,7,3,9,10,5,0,1,0,3,0,1,0,1,0,0
28,3226,12,4,22,7,28,27,4,25,20,13,22,16,20,19,4,22,4,17,14,13,12,3,10,4,4,7,6,4,4,3,2,1,4,6,4,2,0,1,0,0,0
29,5080,20,14,12,3,32,15,8,8,4,8,20,11,8,5,14,0,20,20,8,8,0,12,14,8,4,5,8,1,8,8,0,5,4,1,2,0,0,2,0,0,0
30,8125,19,19,13,13,19,9,5,22,27,13,19,13,23,1,19,24,19,7,11,16,19,13,1,5,11,4,9,6,7,0,9,1,3,2,1,4,3,1,1,0,0
31,549,10,6,36,7,30,5,20,9,2,13,0,14,26,12,6,15,18,16,20,12,10,17,12,3,2,0,12,6,6,9,0,3,2,5,0,0,2,0,0,0,0
32,727,34,8,34,30,14,9,20,20,2,8,14,18,2,14,8,24,2,7,20,2,14,15,14,3,2,14,2,8,2,9,4,5,2,2,2,4,2,2,0,0,0
33,1343,33,28,7,2,13,8,9,28,1,7,13,15,1,13,15,18,1,5,17,1,13,7,13,9,1,13,1,2,1,6,3,4,1,1,1,3,1,1,1,0,0
34,2037,0,10,18,5,4,10,14,16,0,26,10,12,24,22,10,15,16,19,16,10,0,18,4,14,0,10,10,10,4,5,0,4,0,3,4,0,0,1,0,0,0
35,3009,12,0,26,28,24,27,8,6,12,24,12,2,20,6,0,22,12,1,6,6,12,7,6,8,12,12,6,0,0,6,2,6,4,6,0,2,0,0,0,0,0
36,8438,39,25,13,4,7,24,29,13,15,14,19,24,3,25,25,14,7,17,13,10,19,13,7,12,15,4,3,12,7,2,9,7,7,3,1,4,3,1,1,0,0
37,3124,27,9,5,15,15,7,9,30,19,27,27,26,7,24,9,17,3,19,19,0,7,5,15,9,3,12,7,9,3,8,7,6,3,0,3,2,3,0,1,0,0
38,1164,30,18,36,31,30,10,2,21,30,29,0,28,10,3,18,0,6,16,10,3,10,17,12,2,14,0,10,5,6,10,0,3,6,3,0,0,2,0,0,0,0
39,9432,17,35,21,13,17,22,13,11,9,1,17,28,1,8,9,7,17,11,11,8,17,2,17,13,9,2,1,9,5,0,7,8,1,1,5,2,1,2,1,0,0
40,8634,37,9,35,33,33,7,25,9,29,17,27,28,21,15,9,2,21,14,9,0,17,16,15,8,13,12,7,9,9,9,7,6,5,0,3,2,1,0,1,0,0
41,2880,36,0,30,30,24,11,30,24,12,6,6,13,4,6,0,1,12,18,2,18,16,11,6,13,12,6,4,0,0,2,6,6,4,4,0,1,0,0,0,0,0
42,2266,3,28,23,5,31,18,9,28,27,16,13,20,11,13,15,8,19,2,17,4,3,4,13,9,11,13,11,2,7,6,3,4,3,4,1,3,3,1,1,0,0
43,959,27,25,31,9,31,27,19,7,27,7,7,20,27,4,25,2,19,13,7,13,7,12,13,2,11,7,13,12,7,7,7,4,3,6,1,2,3,1,1,0,0
44,3950,10,10,12,19,34,25,24,19,26,14,10,23,18,16,10,15,10,3,8,4,10,12,16,7,10,10,4,10,10,8,0,7,2,4,4,0,2,1,0,0,0
45,1944,25,7,5,6,25,5,25,10,25,19,25,11,5,25,7,15,1,22,21,19,5,5,7,8,9,10,5,7,1,10,5,7,1,5,1,0,1,1,1,0,0
46,3866,17,26,9,26,17,27,31,5,17,14,17,27,13,26,13,17,17,19,5,20,17,9,17,14,1,2,13,0,5,5,7,8,1,6,5,2,1,2,1,0,0
