0,5138,16,15,14,19,24,1,22,6,18,7,6,11,10,15,6,1,0,11,10,7,6,1,6,0,4,1,2,1,0,0,0
1,1334,4,14,10,13,18,24,10,5,16,10,14,15,4,5,10,4,10,5,10,5,4,4,2,3,4,4,2,1,0,0,0
2,1200,1,10,25,10,9,6,13,14,13,4,1,13,1,7,13,1,11,9,1,2,1,1,5,4,1,1,1,1,1,0,0
3,2953,16,23,16,25,8,1,16,17,16,16,16,7,16,8,0,1,2,8,4,5,6,7,0,2,4,1,0,1,0,0,0
4,8371,0,7,4,18,24,15,12,6,0,18,0,16,0,3,4,0,4,11,0,0,0,0,4,4,0,0,0,0,0,0,0
5,2857,7,4,27,7,7,22,7,17,3,13,7,11,7,10,7,7,13,7,7,3,7,7,7,6,1,2,3,1,1,0,0
6,9034,16,5,26,19,16,11,10,22,6,19,6,13,10,9,10,1,12,3,10,6,6,1,2,5,4,1,2,1,0,0,0
7,9737,20,20,22,26,6,0,2,8,2,8,10,6,8,4,2,5,8,6,2,2,0,8,2,1,2,0,2,2,0,0,0
8,2061,3,22,1,12,1,8,9,12,15,15,13,17,3,8,1,3,1,1,9,4,3,3,1,1,3,3,1,0,1,0,0
9,475,24,11,12,3,22,4,0,7,2,12,4,6,12,7,0,9,12,9,0,2,4,3,0,5,0,4,0,0,0,0,0
10,9091,26,27,8,14,0,6,8,12,6,8,16,2,14,3,0,11,8,0,8,6,6,5,0,1,2,1,0,2,0,0,0
11,7977,11,4,7,5,25,11,23,19,3,14,11,4,5,11,15,11,7,12,11,3,1,5,7,0,5,1,3,2,1,0,0
12,890,24,22,2,3,10,9,6,12,16,9,14,18,12,10,14,9,2,10,6,5,4,3,6,2,0,4,2,0,0,0,0
13,9665,20,15,2,26,12,20,2,18,12,2,10,15,8,8,2,5,2,12,2,1,0,8,2,2,2,0,2,2,0,0,0
14,9438,11,17,5,17,21,6,5,4,7,5,1,9,17,13,13,11,5,8,5,7,1,8,5,5,5,1,1,2,1,0,0
15,6377,7,28,17,25,15,22,1,13,17,10,17,6,7,13,9,7,3,2,1,6,7,7,1,3,1,2,1,1,1,0,0
16,1661,22,5,12,4,16,12,4,5,12,19,12,16,4,15,12,7,12,3,4,1,2,4,4,5,4,2,0,1,0,0,0
17,4906,15,28,23,6,13,10,15,4,13,9,15,6,15,2,15,0,9,0,3,2,5,6,7,2,3,0,3,0,1,0,0
18,9905,17,7,19,11,17,2,11,0,13,5,7,14,11,12,11,2,5,4,11,2,7,2,3,5,5,2,3,2,1,0,0
19,4741,12,16,22,15,20,12,18,21,12,15,2,9,6,2,10,12,8,7,6,1,2,6,2,1,0,2,2,0,0,0,0
20,9652,3,10,9,24,23,8,9,15,3,9,13,14,15,8,9,3,9,10,9,3,3,6,1,2,3,3,1,0,1,0,0
21,2760,1,28,21,25,23,1,1,0,5,7,1,2,7,7,9,1,7,10,1,5,1,7,1,0,1,1,1,1,1,0,0
22,2132,10,5,24,7,16,5,16,6,12,10,0,14,16,11,0,10,10,3,4,1,0,7,0,3,4,0,0,1,0,0,0
23,1384,7,12,23,13,15,2,7,0,21,16,7,3,13,4,7,7,9,2,7,10,7,4,7,2,1,2,3,1,1,0,0
24,6031,11,14,19,5,23,11,23,3,15,5,11,9,5,2,7,11,5,10,11,4,1,5,7,5,5,1,3,2,1,0,0
25,6349,22,22,10,4,24,7,10,6,20,10,2,14,4,12,10,7,10,11,10,9,2,4,2,3,4,2,2,1,0,0,0
